Sample_ID,Language,Error_Type,Token_Length,Token_Preview,Full_Token,Context
sw2005_B_2,CS,Long_Token,68," je to jedna z posledních věcí na světě, které bys kdy chtěl udělat "," je to jedna z posledních věcí na světě, které bys kdy chtěl udělat ","
_No, samozřejmě, to je _, _ ty víš _, _ je to jedna z posledních věcí na světě, které bys kdy chtěl udělat _, _ ty víš _. _ Ledaže je to prostě _, _ ty víš _, _ opravdu _, _ ty víš _, _ a, ehm, pro n..."
sw2005_B_2,DE,Long_Token,88," , es ist eines der letzten paar Dinge in der Welt, die du jemals wollen würdest zu tun "," , es ist eines der letzten paar Dinge in der Welt, die du jemals wollen würdest zu tun ","_Also_, natürlich, _es_ _ ist_ _, _ _du_ _ weisst _ _ , es ist eines der letzten paar Dinge in der Welt, die du jemals wollen würdest zu tun _ _ , du _ _weisst _ _ . Unless es ist einfach_, _ _ du _ _..."
sw2005_B_2,DE,Long_Token,24, . Unless es ist einfach, . Unless es ist einfach,"_Also_, natürlich, _es_ _ ist_ _, _ _du_ _ weisst _ _ , es ist eines der letzten paar Dinge in der Welt, die du jemals wollen würdest zu tun _ _ , du _ _weisst _ _ . Unless es ist einfach_, _ _ du _ _..."
sw2005_B_4,DE,Long_Token,110,", oder, hatte t-, meine Mutter in ein Pflegeheim zu bringen. Sie hatte einen eher massiven Schlaganf...",", oder, hatte t-, meine Mutter in ein Pflegeheim zu bringen. Sie hatte einen eher massiven Schlaganfall about ","Ich wäre sehr sehr vorsichtig_ und _ _ , uh _ _ du _ _weisst _ _ Überprüfen Sie sie. _Uh_, oder, hatte t-, meine Mutter in ein Pflegeheim zu bringen. Sie hatte einen eher massiven Schlaganfall about _..."
sw2005_B_14,CS,Long_Token,83," při prověřování všech těch míst, která, ehm, by mohla být k dispozici. Samozřejmě "," při prověřování všech těch míst, která, ehm, by mohla být k dispozici. Samozřejmě ","
_Ty víš _, _ je něco jiného, co jsme mohli udělat _, _ ty víš _, _ při prověřování všech těch míst, která, ehm, by mohla být k dispozici. Samozřejmě _, _ ty víš _, _ není jedno na každém rohu, zejmén..."
sw2005_A_19,DE,Long_Token,128," in meiner Familie, uh, meine Großmutter, sie musste in ein Pflegeheim getan werden und, um, sie hat..."," in meiner Familie, uh, meine Großmutter, sie musste in ein Pflegeheim getan werden und, um, sie hatte den Rollator benutzt for ","_Uh-huh _ _ Yeah _ _ , Wahrscheinlich das härteste Ding in _ _ in meiner Familie, uh, meine Großmutter, sie musste in ein Pflegeheim getan werden und, um, sie hatte den Rollator benutzt for _ _ für zi..."
sw2005_A_99,CS,Long_Token,100," myslím, že co jedna věc, která je pravděpodobně znepokojovala, byla skutečnost, že to nebylo nutně "," myslím, že co jedna věc, která je pravděpodobně znepokojovala, byla skutečnost, že to nebylo nutně ","A,_ehm, já _, _ já _, _ myslím, že co jedna věc, která je pravděpodobně znepokojovala, byla skutečnost, že to nebylo nutně _, _ _ ty víš _, _ _ jako množství péče, ale kvalita, péče."
sw2005_A_99,DE,Long_Token,101, one thing das sie sich wahrscheinlich Sorgen machten war die Tatsache es war nicht notwendigerweise..., one thing das sie sich wahrscheinlich Sorgen machten war die Tatsache es war nicht notwendigerweise ,"Und, um, I _ _ I think that what _ one thing das sie sich wahrscheinlich Sorgen machten war die Tatsache es war nicht notwendigerweise _ _ you know _ _ wie die Quantität von Pflege sondern die Qualitä..."
sw2005_A_99,ES,Long_Token,73," les preocupaba probablemente era el hecho de que no era necesariamente, "," les preocupaba probablemente era el hecho de que no era necesariamente, ","Y, _eh_, _yo_, _yo_ _creo_que_ lo único _que_ les preocupaba probablemente era el hecho de que no era necesariamente, _ya sabes_, la cantidad de cuidados, sino la calidad de los cuidados."
sw2005_A_147,CS,Long_Token,79," ehm, s mnoha mnoha lidmi, zejména tam, kde měli, ehm, rozšířenou rodinu. A já "," ehm, s mnoha mnoha lidmi, zejména tam, kde měli, ehm, rozšířenou rodinu. A já ","_Jo _. _ Ale, ehm, já _, _ já _, _ myslím, že _, _ ty víš _, _ my vždy _, _ ehm _, _ J edy _, _ já jsem _, _ já jsem měl spoustu dobrých zkušeností s _, _ ehm, s mnoha mnoha lidmi, zejména tam, kde mě..."
sw2005_A_147,CS,Long_Token,90, bychom se mohli potřebovat jako přiblížit k rodinnému prostředí a a dostat se k hodnotám , bychom se mohli potřebovat jako přiblížit k rodinnému prostředí a a dostat se k hodnotám ,"_Jo _. _ Ale, ehm, já _, _ já _, _ myslím, že _, _ ty víš _, _ my vždy _, _ ehm _, _ J edy _, _ já jsem _, _ já jsem měl spoustu dobrých zkušeností s _, _ ehm, s mnoha mnoha lidmi, zejména tam, kde mě..."
sw2005_A_147,DE,Long_Token,105, wir könnten brauchen like nah zu kommen zur Familienumgebung and und runter zu kommen zu den Werten..., wir könnten brauchen like nah zu kommen zur Familienumgebung and und runter zu kommen zu den Werten von ,"Yeah _ _ But, uh, I _ _ I _ _ I think that _ _ you know _ _ we always _ _ uh _ _ I mean _ _ I ve _ _ I've had viele gute Erfahrungen with _ _ uh, mit many many Menschen besonders wo sie hatten, uh, er..."
sw2008_B_6,CS,Long_Token,73,", nosím obleky, nosím sukně a svetry. Při příležitosti můžu nosit džíny. ",", nosím obleky, nosím sukně a svetry. Při příležitosti můžu nosit džíny. ","_Ehm, měním se. _Ehm, víš_, nosím obleky, nosím sukně a svetry. Při příležitosti můžu nosit džíny. _Ehm_, a co ty?"
sw2008_B_6,DE,Long_Token,76,", ich trage Anzüge, Röcke und Pullover. Gelegentlich kann ich Jeans tragen. ",", ich trage Anzüge, Röcke und Pullover. Gelegentlich kann ich Jeans tragen. ","_Ähm_, ich variiere schon. _Ähm_ _, _wissen_ _Sie_, ich trage Anzüge, Röcke und Pullover. Gelegentlich kann ich Jeans tragen. _Ähm_, wie sieht es bei Ihnen aus?"
sw2010_B_22,CS,Long_Token,46," to nikam nedojde, že to bude jen nuda. Takže "," to nikam nedojde, že to bude jen nuda. Takže ","Souhlasím s tím. _Ehm_, _já_ _, _ jsem si včera v novinách všiml, že něco říkalo, že to bylo nominováno na dvanáct cen _a_ _, _ a všichni kritici původně říkali, že _, _víš_ _, _ to nikam nedojde, že ..."
sw2010_B_22,ES,Long_Token,73," no iba a llegar a ningún lado, que iba a ser un fracaso. Entonces, ello "," no iba a llegar a ningún lado, que iba a ser un fracaso. Entonces, ello ","Estoy de acuerdo con eso. Um, yo _, _ noté ayer en el periódico, algo decía que, creo que ha sido nominada para doce premios y _, _ y todos los críticos inicialmente dijeron que _, _ tú sabes, _ no ib..."
sw2010_A_23,CS,Long_Token,54," občas přehánět, když mi někdo říká, že je to skvělé. "," občas přehánět, když mi někdo říká, že je to skvělé. ","_No_, zajímavá věc _byla_ ta, že jsem to slyšel, a _já_ _, _já_ _, _ mám tendenci _, _já_ _, _myslím_ _, _ občas přehánět, když mi někdo říká, že je to skvělé. _A_ _, _ a _to_ _bylo_ _, _ věc je, _to_..."
sw2010_A_23,ES,Long_Token,77, sobre-reaccionar ocasionalmente cuando alguien me dice que es tan genial. Y , sobre-reaccionar ocasionalmente cuando alguien me dice que es tan genial. Y ,"Bueno, lo interesante fue es que había oído eso, y yo _, _ yo _, _ tiendo a _, _ yo pienso, _ sobre-reaccionar ocasionalmente cuando alguien me dice que es tan genial. Y _, _ y ello fue, _ la cosa es,..."
sw2010_B_38,ES,Long_Token,66," no hay realmente ninguna, uh, sangre y tripas ni nada de eso. Es "," no hay realmente ninguna, uh, sangre y tripas ni nada de eso. Es ","Es de suspenso. No creo que sea muy sangrienta-, quiero decir, _ no hay realmente ninguna, uh, sangre y tripas ni nada de eso. Es _, _ es más suspenso. Um, la otra, EL SILENCIO DE LOS INOCENTES, es un..."
sw2010_B_38,ES,Long_Token,76," es más suspenso. Um, la otra, EL SILENCIO DE LOS INOCENTES, es un poco una "," es más suspenso. Um, la otra, EL SILENCIO DE LOS INOCENTES, es un poco una ","Es de suspenso. No creo que sea muy sangrienta-, quiero decir, _ no hay realmente ninguna, uh, sangre y tripas ni nada de eso. Es _, _ es más suspenso. Um, la otra, EL SILENCIO DE LOS INOCENTES, es un..."
sw2010_B_38,ES,Long_Token,48, si a alguien no le gusta ese tipo de cosas. Es , si a alguien no le gusta ese tipo de cosas. Es ,"Es de suspenso. No creo que sea muy sangrienta-, quiero decir, _ no hay realmente ninguna, uh, sangre y tripas ni nada de eso. Es _, _ es más suspenso. Um, la otra, EL SILENCIO DE LOS INOCENTES, es un..."
sw2010_B_50,CS,Long_Token,106," získal všechny druhy ocenění nebo ať to jen bylo v pořádku na kinech, myslím, že by byl šťastný. Pr..."," získal všechny druhy ocenění nebo ať to jen bylo v pořádku na kinech, myslím, že by byl šťastný. Protože ","_Myslím_, že opravdu, jeho srdce v tom bylo, ale _já_ nemyslím, že skutečně věděl, že to bude tak velké, jaké to bylo. Myslím, že to bylo něco, co opravdu chtěl udělat. Chtěl to režírovat, chtěl v tom..."
sw2012_A_25,CS,Long_Token,281," o konspiračních teoriích CIA nebo čemkoli, by takové strany chtěly dělat bez vašeho vědomí. Takže e..."," o konspiračních teoriích CIA nebo čemkoli, by takové strany chtěly dělat bez vašeho vědomí. Takže existují věci, které narušují ten druhý typ soukromí, kde víte o nich a možná i věci, které narušují ten druhý typ soukromí bez vašeho vědomí, a nemůžu mluvit o tom druhém jinak než ","_Tak_, zřejmě ti, kteří zjistí takové informace, pokud je získávají, by raději zůstaly neznámé, a _, _já myslím__, _vy víte__, _klasické, _ach__, _já nevím_ o konspiračních teoriích CIA nebo čemkoli, ..."
sw2012_A_61,CS,Long_Token,68,", že to byl nekontrolovaný přístup k tomu, kdo by měl ty informace. ",", že to byl nekontrolovaný přístup k tomu, kdo by měl ty informace. ","_Jo_._ And, _um_, jeden z problémů s databází Lotus byl, _um_, že to byl nekontrolovaný přístup k tomu, kdo by měl ty informace. _I_ _mean_ _, _ řekli, že by ji poskytli pouze vybraným společnostem _b..."
sw2012_A_61,CS,Long_Token,54," řekli, že by ji poskytli pouze vybraným společnostem "," řekli, že by ji poskytli pouze vybraným společnostem ","_Jo_._ And, _um_, jeden z problémů s databází Lotus byl, _um_, že to byl nekontrolovaný přístup k tomu, kdo by měl ty informace. _I_ _mean_ _, _ řekli, že by ji poskytli pouze vybraným společnostem _b..."
sw2012_A_61,ES,Long_Token,57," decían que la darían solo a compañías selectas pero, um "," decían que la darían solo a compañías selectas pero, um ","Sí _. _ Y, um, uno de los problemas con la base de datos de Lotus era, um, que era acceso no controlado a quién tendría esa información. Quiero decir, _ decían que la darían solo a compañías selectas ..."
sw2012_A_63,CS,Long_Token,131,"Bylo by to pirátské a stejně by se nikdo neobtěžoval to pečlivě kontrolovat u někoho, kdo nabízí, ví...","Bylo by to pirátské a stejně by se nikdo neobtěžoval to pečlivě kontrolovat u někoho, kdo nabízí, víš, plnou hotovostní cenu za to.","
_Bylo by to pirátské a stejně by se nikdo neobtěžoval to pečlivě kontrolovat u někoho, kdo nabízí, víš, plnou hotovostní cenu za to._"
sw2012_A_87,CS,Long_Token,81,", lidé vám začnou věnovat velmi velkou pozornost a začnou se ptát a v tom smyslu ",", lidé vám začnou věnovat velmi velkou pozornost a začnou se ptát a v tom smyslu ","Však v této zemi, kde každý velmi respektuje zavřené dveře, když vyjdete ven a pak se chováte jako šílenec _vy_ _, porušujete _ty_ _, _uh_, normy _of_ _social_ _, _of_ _, veřejného chování. _Um_ _, li..."
sw2012_A_87,CS,Long_Token,71,", narušují vaši soukromí, i když, pokud víte, jaké jsou sociální normy ",", narušují vaši soukromí, i když, pokud víte, jaké jsou sociální normy ","Však v této zemi, kde každý velmi respektuje zavřené dveře, když vyjdete ven a pak se chováte jako šílenec _vy_ _, porušujete _ty_ _, _uh_, normy _of_ _social_ _, _of_ _, veřejného chování. _Um_ _, li..."
sw2012_A_87,ES,Long_Token,74," invadiendo tu privacidad aunque, si sabes cuáles son las normas sociales "," invadiendo tu privacidad aunque, si sabes cuáles son las normas sociales ","En cambio en este país donde todos respetan mucho las puertas cerradas, si sales y actúas como el lunático tú _, _ violas las _, _ uh, las normas de sociales _, _ de, um, comportamiento público. Um, l..."
sw2012_B_98,IT,Long_Token,60,"ci sono altre cose specifiche che, che ti senti come, dove, ","ci sono altre cose specifiche che, che ti senti come, dove, ","È interessante. Ci sono al-, _ci sono altre cose specifiche che, che ti senti come, dove, _dove senti che la tua privacy viene invasa su base quotidiana o magari con frequenza crescente?"
sw2012_A_99,ES,Long_Token,163,", lo cual es más intrusivo porque tengo que decirle realmente a alguien que se vaya. Y hay esa sensa...",", lo cual es más intrusivo porque tengo que decirle realmente a alguien que se vaya. Y hay esa sensación de, he abierto mi puerta, ahora ven cómo luzco, cómo vivo ","Todo _the_ _class-_,_, _the_ otro ejemplo clásico, el Testigo de Jehová _or_ _,_ o los mormones o alguien tocando a la puerta, _um_, lo cual es más intrusivo porque tengo que decirle realmente a algui..."
sw2012_A_99,IT,Long_Token,56,"o i Mormoni o qualcuno che bussa alla porta d'ingresso, ","o i Mormoni o qualcuno che bussa alla porta d'ingresso, ","Tutta la _classe_, _gli altri esempi classici, i Testimoni di Geova _o_ _, _o i Mormoni o qualcuno che bussa alla porta d'ingresso, _ehm_, che è più invadente perché devo davvero dire a qualcuno di an..."
sw2012_A_99,IT,Long_Token,161,", che è più invadente perché devo davvero dire a qualcuno di andarsene. E c'è quella sensazione di, ...",", che è più invadente perché devo davvero dire a qualcuno di andarsene. E c'è quella sensazione di, ora ho aperto la porta, ora vedono che aspetto ho, come vivo ","Tutta la _classe_, _gli altri esempi classici, i Testimoni di Geova _o_ _, _o i Mormoni o qualcuno che bussa alla porta d'ingresso, _ehm_, che è più invadente perché devo davvero dire a qualcuno di an..."
sw2015_B_18,ES,Long_Token,133, no puedes realmente detener a esas personas de venir alrededor incluso aunque ellos pongan señales ...," no puedes realmente detener a esas personas de venir alrededor incluso aunque ellos pongan señales afuera que dicen no solicitudes, ",_Uh-huh_ _uh-huh_ _Yeah_ eso es verdad. Viviendo en un complejo de apartamentos aunque _you_ _know_ _you_ _ca_nt_ _um_ no puedes realmente detener a esas personas de venir alrededor incluso aunque ell...
sw2015_B_18,ES,Long_Token,56," pero ellos todavía llegan hasta la puerta principal y, "," pero ellos todavía llegan hasta la puerta principal y, ",_Uh-huh_ _uh-huh_ _Yeah_ eso es verdad. Viviendo en un complejo de apartamentos aunque _you_ _know_ _you_ _ca_nt_ _um_ no puedes realmente detener a esas personas de venir alrededor incluso aunque ell...
sw2015_B_18,ES,Long_Token,54, caminan alrededor. Así que usualmente lo que hago es , caminan alrededor. Así que usualmente lo que hago es ,_Uh-huh_ _uh-huh_ _Yeah_ eso es verdad. Viviendo en un complejo de apartamentos aunque _you_ _know_ _you_ _ca_nt_ _um_ no puedes realmente detener a esas personas de venir alrededor incluso aunque ell...
sw2015_B_18,ES,Long_Token,52, llamar al administrador del apartamento y decirles , llamar al administrador del apartamento y decirles ,_Uh-huh_ _uh-huh_ _Yeah_ eso es verdad. Viviendo en un complejo de apartamentos aunque _you_ _know_ _you_ _ca_nt_ _um_ no puedes realmente detener a esas personas de venir alrededor incluso aunque ell...
sw2015_B_18,HI,Long_Token,115,", काफी पढ़ा है और मुझे वह खास तौर पर पसंद नहीं है, इसलिए मुझे बिल्कुल भी अच्छा नहीं लगता जब वे मेरे ...",", काफी पढ़ा है और मुझे वह खास तौर पर पसंद नहीं है, इसलिए मुझे बिल्कुल भी अच्छा नहीं लगता जब वे मेरे दरवाज़े तक आकर ","_उह-हuh_ _, _ _उह-हuh_ _. _ _हाँ_ _, _ यह सच है। लेकिन अपार्टमेंट कॉम्प्लेक्स में रहने पर _, _ _you_ _know_ _you_ _ca_ _n't_ _, _ _um_, आप सच में उन लोगों को इधर-उधर आने से रोक नहीं सकते, भले ही सामने..."
sw2015_B_20,CS,Long_Token,63,", pokud se nesnaží mě do toho vtáhnout a zatáhnout mě do toho. ",", pokud se nesnaží mě do toho vtáhnout a zatáhnout mě do toho. ","_„_Jo_“, _„_jo_“, _„_ne_“, _„_já_“, _souhlasím s tebou_. Pokud si chtějí zvolit tu konkrétní víru, to je pro mě taky v pořádku _, _víš_ _, jak dlouho_, pokud se nesnaží mě do toho vtáhnout a zatáhnout..."
sw2015_B_20,CS,Long_Token,99,", je to jejich mise, že to dělají. Cházejí od domu k domu a jdou ven do veřejnosti a skutečně mají ",", je to jejich mise, že to dělají. Cházejí od domu k domu a jdou ven do veřejnosti a skutečně mají ","_„_Jo_“, _„_jo_“, _„_ne_“, _„_já_“, _souhlasím s tebou_. Pokud si chtějí zvolit tu konkrétní víru, to je pro mě taky v pořádku _, _víš_ _, jak dlouho_, pokud se nesnaží mě do toho vtáhnout a zatáhnout..."
sw2015_B_20,HI,Long_Token,67,"like* सेना में, और दो साल घूम-घूमकर मिशनरी तरह का काम करते हैं और, ","like* सेना में, और दो साल घूम-घूमकर मिशनरी तरह का काम करते हैं और, ","_हाँ_ _, _ _हाँ_ _, _ _नहीं_ _, _ _I_ _, _ मैं इस बात पर आपसे सहमत हूँ। अगर वे उस खास धर्म को चुनना चाहते हैं तो वह मुझे भी ठीक लगता है _, _ _you_ _know_ _, _ जब तक वे मुझे उसमें खींचने और घसीटने की क..."
sw2015_B_20,HI,Long_Token,71," वह एक बात है जिसके बारे में मैं बहुत मज़बूती से महसूस करता हूँ, यानी, "," वह एक बात है जिसके बारे में मैं बहुत मज़बूती से महसूस करता हूँ, यानी, ","_हाँ_ _, _ _हाँ_ _, _ _नहीं_ _, _ _I_ _, _ मैं इस बात पर आपसे सहमत हूँ। अगर वे उस खास धर्म को चुनना चाहते हैं तो वह मुझे भी ठीक लगता है _, _ _you_ _know_ _, _ जब तक वे मुझे उसमें खींचने और घसीटने की क..."
sw2015_B_20,HI,Long_Token,64," लोग मेरे दरवाज़े तक आना, और ख़ास तौर पर धार्मिक संगठन और चाहना "," लोग मेरे दरवाज़े तक आना, और ख़ास तौर पर धार्मिक संगठन और चाहना ","_हाँ_ _, _ _हाँ_ _, _ _नहीं_ _, _ _I_ _, _ मैं इस बात पर आपसे सहमत हूँ। अगर वे उस खास धर्म को चुनना चाहते हैं तो वह मुझे भी ठीक लगता है _, _ _you_ _know_ _, _ जब तक वे मुझे उसमें खींचने और घसीटने की क..."
sw2015_B_22,CS,Long_Token,77,", já nemám bouřkové dveře, ale jsem si jistý, že bych mohl něco zařídit. Ale ",", já nemám bouřkové dveře, ale jsem si jistý, že bych mohl něco zařídit. Ale ","_Jo_, _jo_, _to je pravda, _jo_. _Ne_, _já_ _ne_, _uh_, _já_ _ne_ _mám_, _já_ _nešel_ tak daleko, ale, _uh_, _jo_ pravděpodobně bych mohl udělat to samé, _uh_, _víš_, já nemám bouřkové dveře, ale jsem..."
sw2015_B_22,CS,Long_Token,60,"je to jako oni vidí to slovo a říká to jdi, místo zastavit. ","je to jako oni vidí to slovo a říká to jdi, místo zastavit. ","_Jo_, _jo_, _to je pravda, _jo_. _Ne_, _já_ _ne_, _uh_, _já_ _ne_ _mám_, _já_ _nešel_ tak daleko, ale, _uh_, _jo_ pravděpodobně bych mohl udělat to samé, _uh_, _víš_, já nemám bouřkové dveře, ale jsem..."
sw2020_A_3,ES,Long_Token,108, tiendo a ser una de esas personas que cambia de estaciones mucho porque no me gustan los comerciale...," tiendo a ser una de esas personas que cambia de estaciones mucho porque no me gustan los comerciales. But, "," _Well_, yo principalmente escucho música popular. I, _uh_, escucho a ella todo el tiempo _in_ _ _ , _ en mi carro, así que, _I_ _ , _ tiendo a ser una de esas personas que cambia de estaciones mucho ..."
sw2020_A_3,IT,Long_Token,108,tendo ad essere una di quelle persone che cambia spesso stazione perché non mi piacciono le pubblici...,"tendo ad essere una di quelle persone che cambia spesso stazione perché non mi piacciono le pubblicità. Ma, ","_Beh_, ascolto principalmente musica pop. Io, _uh_, la ascolto sempre _in_ _, _in_ macchina, quindi, _io_ _, _tendo ad essere una di quelle persone che cambia spesso stazione perché non mi piacciono l..."
sw2020_B_20,ES,Long_Token,97," no tengo realmente nada en contra de la música rap. Yo, lo único que objetó sobre la música rap "," no tengo realmente nada en contra de la música rap. Yo, lo único que objetó sobre la música rap ","_Sí_ __ _Bueno_, __ _Yo_ __ _yo_ no tengo realmente nada en contra de la música rap. Yo, lo único que objetó sobre la música rap _es_ __ _es_ cuando se vuelve militante, o si es _eh_ orientada a la vi..."
sw2020_B_32,ES,Long_Token,55," acerca de cuarenta o cincuenta años. Y, fue increíble "," acerca de cuarenta o cincuenta años. Y, fue increíble "," Y, _uh_, era sobre, _el_ __ _la_ _pieza_ _de_ _música_ __, _la pieza de música_ era sobre __ _yo_ _pienso_ acerca de cuarenta o cincuenta años. Y, fue increíble __ _yo_ _quiero decir_ __ _el paralelo..."
sw2020_B_104,CS,Long_Token,34,"opravdu to není world music. Ale, ","opravdu to není world music. Ale, ","_No_, _víš_, _opravdu to není world music. Ale, _co_, _co_ Paul Simon dělá _, _já_ _myslím_ _je_, _je_ skvělé protože on _, _víš_ _já_ _myslím_ _, _já_ _myslím_ _že_ používání _, _já_ _hádám_ _co_ _on..."
sw2020_B_104,HI,Long_Token,52, बहुत सारे अलग-अलग स्रोतों से आकर्षित करना और बनाना , बहुत सारे अलग-अलग स्रोतों से आकर्षित करना और बनाना ,"Well _, _ you know _, _ सच में वह वर्ल्ड म्यूजिक नहीं है। लेकिन, what _, _ जो पॉल साइमन कर रहे हैं _, _ I think is _, _ is _, _ यह शानदार है क्योंकि वह _, _ you know I think _, _ I think कि उपयोग करना..."
sw2020_B_118,HI,Long_Token,69," उन गुणों को लेना, और फिर लागू करना, उन शैलियों में, that are really "," उन गुणों को लेना, और फिर लागू करना, उन शैलियों में, that are really ","I _, _ मुझे लगता है, you know, और यह उसी तरह है, you know, वर्ल्ड म्यूजिक के साथ, जो रूप वास्तव में रहे हैं, um, I guess _, _ I you know _, _ the best example या _, _ you know , _ सबसे बेहतरीन, I gues..."
sw2022_B_12,ES,Long_Token,59,", nuestro propio dinero para diversión y cosas así y luego ",", nuestro propio dinero para diversión y cosas así y luego ","_Uh_, _we__'ve_ _we've_, _uh_, tomado cuánto tenemos _,_you_ _know_ _, escribimos cuánto tenemos llegando cada mes y luego, _uh_, hemos, al comienzo del año nos sentamos y determinamos cuánto podríamo..."
